YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2016,Honda,Honda City 1.5L I-VTEC VX CVT,36527,Petrol,1st owner,Automatic,6.39,12493,Hyderabad
2021,KIA,KIA SONET HTX 1.5,41608,Diesel,1st owner,Manual,9.73,18520,Hyderabad
2014,Maruti,Maruti Ertiga VXI CNG,67840,CNG,1st owner,Manual,5.53,18368,Hyderabad
2019,Honda,Honda Jazz 1.2L I-VTEC VX CVT,35824,Petrol,1st owner,Automatic,6.75,13196,Hyderabad
2014,Tata,Tata Zest XMS PETROL,50397,Petrol,1st owner,Manual,2.91,6473,Hyderabad
2014,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,78629,Petrol,1st owner,Automatic,3.05,6785,Hyderabad
2016,Honda,Honda City 1.5L I-VTEC VX CVT,47661,Petrol,1st owner,Automatic,6.6,12903,Hyderabad
2014,Maruti,Maruti Ertiga VDI,59353,Diesel,1st owner,Manual,5.89,15511,Hyderabad
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,36731,Petrol,2nd owner,Automatic,3.72,7273,Hyderabad
2016,Maruti,Maruti Wagon R 1.0 LXI CNG,14176,CNG,1st owner,Manual,3.62,8052,Hyderabad
2020,Honda,Honda Amaze 1.5L I-DTEC VX CVT,45633,Diesel,1st owner,Automatic,8.3,15798,Hyderabad
2015,Honda,Honda Amaze 1.2L I-VTEC VX AT,53910,Petrol,3rd owner,Automatic,3.67,7175,Hyderabad
2017,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,101769,Petrol,1st owner,Manual,6.47,14392,Hyderabad
2013,Toyota,Toyota Etios Liva G,74269,Petrol,1st owner,Manual,2.77,7294,Hyderabad
2016,Maruti,Maruti Alto K10 VXI,26933,Petrol,1st owner,Manual,2.68,5239,Hyderabad
2015,Maruti,Maruti Celerio VXI,81103,Petrol,2nd owner,Manual,3.06,5982,Hyderabad
2021,Honda,Honda Jazz 1.2L I-VTEC ZX CVT,3169,Petrol,2nd owner,Automatic,8.01,15246,Hyderabad
2016,Skoda,Skoda Rapid AMBITION 1.6 MPI MT,85436,Petrol,1st owner,Manual,3.82,7474,Hyderabad
2016,Honda,Honda Amaze 1.2L I-VTEC VX AT,88198,Petrol,1st owner,Automatic,4.29,8387,Hyderabad
2017,Renault,Renault Kwid RXT 02 Anniversary Edition,23529,Petrol,1st owner,Manual,2.84,5552,Hyderabad
2020,Renault,Renault Kwid RXT 1.0 AMT (O),3788,Petrol,1st owner,Manual,4.13,8078,Hyderabad
2013,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L PETROL,56856,Petrol,1st owner,Manual,3.07,8084,Hyderabad
2019,Tata,Tata NEXON XZA PLUS DIESEL,59753,Diesel,1st owner,Manual,8.12,15456,Hyderabad
2014,Honda,Honda City 1.5L I-VTEC VX,79414,Petrol,1st owner,Manual,4.99,11100,Hyderabad
2016,Maruti,Maruti Baleno DELTA CVT PETROL 1.2,88608,Petrol,1st owner,Automatic,4.63,9052,Hyderabad
2016,Volkswagen,Volkswagen Vento HIGHLINE 1.5 AT,88537,Diesel,1st owner,Automatic,5.77,11280,Hyderabad
2019,Ford,Ford FREESTYLE TREND PLUS 1.2 PETROL,57116,Petrol,2nd owner,Manual,5.22,10205,Hyderabad
2015,Honda,Honda City 1.5L I-VTEC SV CVT,105024,Petrol,2nd owner,Automatic,4.7,10449,Hyderabad
